F Weight Lower,F Weight Upper,F Wing Lower,F Wing Upper,M Weight Lower,M Weight Upper,M Wing Lower,M Wing Upper,Species Code
0,0,0,0,0,0,0,0,HOME
20,33,74,85,20,33,80,93,HOOR
0,0,0,0,0,0,0,0,HOPU
10,16,67,87,10,16,68,90,HORE
21,35,67,81,20,35,71,85,HOSP
8,12,58,66,9,13,63,71,HOWA
8,12,45,53,9,13,48,55,HOWR
0,0,0,0,0,0,0,0,HPKT
0,0,0,0,0,0,0,0,HPRT
0,0,0,0,0,0,0,0,HRLH
0,0,329,385,0,0,298,342,HRSH
0,0,207,222,0,0,195,210,HUGO
0,0,0,0,0,0,0,0,HUPE
0,0,54,70,0,0,55,71,HUVI
0,0,0,0,0,0,0,0,HWAM
0,0,0,0,0,0,0,0,HWHA
0,0,0,0,0,0,0,0,HYAL
0,0,0,0,0,0,0,0,HYBL
0,0,52,74,0,0,58,75,HYCH
0,0,0,0,0,0,0,0,HYGU
0,0,0,0,0,0,0,0,HYNO
0,0,0,0,0,0,0,0,HYPA
0,0,110,143,0,0,111,142,HYSA
0,0,0,0,0,0,0,0,HYSK
0,0,0,0,0,0,0,0,HYTE
0,0,0,0,0,0,0,0,HYTO
0,0,0,0,0,0,0,0,HYWA
0,0,0,0,0,0,0,0,IBWO
0,0,0,0,0,0,0,0,ICGU
0,0,0,0,0,0,0,0,ICTO
0,0,0,0,0,0,0,0,IIWI
0,0,59,73,0,0,63,77,ILBH
0,0,0,0,0,0,0,0,ILTE
10,20,59,68,12,22,63,72,INBU
0,0,88,96,0,0,86,96,INDO
0,0,66,76,0,0,71,81,IPSP
0,0,126,137,0,0,131,143,ISSJ
0,0,0,0,0,0,0,0,IVGU
0,0,0,0,0,0,0,0,JABW
0,0,0,0,0,0,0,0,JACR
0,0,0,0,0,0,0,0,JAEL
0,0,0,0,0,0,0,0,JAEU
0,0,0,0,0,0,0,0,JAMA
0,0,0,0,0,0,0,0,JAOR
0,0,0,0,0,0,0,0,JAPE
0,0,0,0,0,0,0,0,JASP
0,0,0,0,0,0,0,0,JATO
0,0,0,0,0,0,0,0,JAVI
0,0,0,0,0,0,0,0,JAWE
0,0,0,0,0,0,0,0,JFPE
0,0,64,75,0,0,67,75,JUTI
0,0,0,0,0,0,0,0,KAAM
0,0,0,0,0,0,0,0,KAEL
0,0,0,0,0,0,0,0,KAKA
0,0,0,0,0,0,0,0,KAMA
0,0,0,0,0,0,0,0,KAOO
0,0,0,0,0,0,0,0,KEPE
0,0,0,0,0,0,0,0,KETE
11,16,60,70,12,18,64,75,KEWA
0,0,0,0,0,0,0,0,KIEI
30,130,154,170,30,130,151,167,KILL
0,0,0,0,0,0,0,0,KIMU
0,0,0,0,0,0,0,0,KIPE
0,0,149,166,0,0,158,175,KIRA
0,0,64,71,0,0,68,75,KIWA
0,0,0,0,0,0,0,0,KWQD
0,0,0,0,0,0,0,0,LAAL
0,0,0,0,0,0,0,0,LADU
0,0,0,0,0,0,0,0,LAFI
9,14,59,68,8,12,62,71,LAGO
0,0,0,0,0,0,0,0,LAGU
23,32,82,94,23,32,88,101,LALO
0,0,0,0,0,0,0,0,LANW
0,0,0,0,0,0,0,0,LAPE
0,0,79,87,0,0,84,92,LARB
0,0,79,88,0,0,82,95,LASP
0,0,0,0,0,0,0,0,LAVW
0,0,50,63,0,0,55,67,LAWA
0,0,64,73,0,0,67,77,LAZB
0,0,0,0,0,0,0,0,LBBG
0,0,262,304,0,0,251,293,LBCU
0,0,137,152,0,0,133,147,LBDO
0,0,0,0,0,0,0,0,LBHE
0,0,0,0,0,0,0,0,LBMU
0,0,62,69,0,0,66,74,LBSP
0,0,92,102,0,0,95,105,LBTH
0,0,51,58,0,0,52,59,LBVI
0,0,95,106,0,0,96,110,LBWO
0,0,0,0,0,0,0,0,LCGO
10,16,48,54,10,16,50,56,LCSP
0,0,91,101,0,0,93,103,LCTH
0,0,0,0,0,0,0,0,LEAU
0,0,0,0,0,0,0,0,LEBI
7,15,55,63,8,16,60,67,LEFL
0,0,0,0,0,0,0,0,LEFR
8,11,57,65,8,11,61,69,LEGO
0,0,0,0,0,0,0,0,LEGP
0,0,0,0,0,0,0,0,LEGR
41,64,168,185,41,64,173,196,LENI
226,368,272,308,226,368,265,302,LEOW
0,0,165,181,0,0,173,188,LEPA
19,31,84,94,15,42,81,90,LESA
0,0,0,0,0,0,0,0,LESB
0,0,0,0,0,0,0,0,LESC
0,0,0,0,0,0,0,0,LESF
0,0,0,0,0,0,0,0,LESH
0,0,0,0,0,0,0,0,LETE
0,0,153,175,0,0,159,180,LEWO
47,108,148,167,47,108,145,163,LEYE
0,0,134,169,0,0,131,166,LHSP
11,14,0,0,11,14,0,0,LIBU
0,0,0,0,0,0,0,0,LIGU
0,0,298,320,0,0,311,337,LIMP
0,0,0,0,0,0,0,0,LISH
12,21,54,65,12,21,56,69,LISP
0,0,0,0,0,0,0,0,LITE
0,0,0,0,0,0,0,0,LMSA
0,0,85,103,0,0,92,105,LOKI
43,60,85,103,43,60,92,105,LOSH
17,24,72,83,18,26,77,87,LOWA
0,0,128,145,0,0,127,144,LRSP
0,0,0,0,0,0,0,0,LSFL
0,0,377,449,0,0,403,461,LSGO
0,0,0,0,0,0,0,0,LTCU
0,0,0,0,0,0,0,0,LTDU
0,0,0,0,0,0,0,0,LTJA
0,0,116,129,0,0,113,126,LTSP
3,4,39,44,3,4,36,41,LUHU
0,0,49,56,0,0,52,60,LUWA
0,0,0,0,0,0,0,0,LWFG
0,0,0,0,0,0,0,0,MAAL
0,0,0,0,0,0,0,0,MABO
0,0,0,0,0,0,0,0,MACP
0,0,128,145,0,0,127,142,MACU
0,0,0,0,0,0,0,0,MADU
0,0,0,0,0,0,0,0,MAFD
0,0,0,0,0,0,0,0,MAFR
0,0,210,245,0,0,201,234,MAGO
0,0,0,0,0,0,0,0,MAGP
0,0,0,0,0,0,0,0,MAGU
0,0,66,72,0,0,37,44,MAHU
0,0,0,0,0,0,0,0,MALL
0,0,0,0,0,0,0,0,MALX
0,0,0,0,0,0,0,0,MAMU
0,0,0,0,0,0,0,0,MAPA
0,0,0,0,0,0,0,0,MARC
0,0,220,238,0,0,219,241,MASH
0,0,0,0,0,0,0,0,MASW
5,11,53,61,6,12,55,64,MAWA
8,14,42,54,8,14,45,57,MAWR
0,0,0,0,0,0,0,0,MBDH
0,0,0,0,0,0,0,0,MBDX
0,0,0,0,0,0,0,0,MCFD
0,0,80,88,0,0,86,94,MCLO
0,0,63,72,0,0,65,74,MECH
0,0,0,0,0,0,0,0,MEDU
0,0,0,0,0,0,0,0,MEGU
105,144,139,169,105,144,140,174,MEJA
165,281,199,227,122,216,178,209,MERL
0,0,52,61,0,0,54,64,MGWA
0,0,0,0,0,0,0,0,MICK
0,0,0,0,0,0,0,0,MIGW
0,0,0,0,0,0,0,0,MIHO
0,0,299,320,0,0,284,305,MIKI
0,0,0,0,0,0,0,0,MILL
0,0,0,0,0,0,0,0,MIME
0,0,0,0,0,0,0,0,MIST
38,62,99,115,38,62,106,122,MKBU
0,0,101,116,0,0,108,121,MOBL
0,0,60,74,0,0,62,75,MOCH
111,155,128,154,105,166,129,159,MODO
0,0,0,0,0,0,0,0,MODU
0,0,0,0,0,0,0,0,MOPA
0,0,245,270,0,0,243,269,MOPE
